State,District,Latitude,Longitude,District code,Population,Male,Female,Literate,Workers,Male_Workers,Female_Workers,Agricultural_Workers,Households_with_Internet,Housholds_with_Electric_Lighting,Rural_Households,Urban_Households,sex_ratio,literact_rate
Uttaranchal,Uttarkashi,30.968958552036234,78.56880615384617,56,330086,168597,161489,215126,157276,84265,73011,4387,602,52621,112148,9061,96.0,65.17271256581618
West Bengal,Bankura,23.081280892857155,87.12640053571437,339,3596674,1838095,1758579,2232992,1466220,1050822,415398,647374,4273,334670,900515,90885,96.0,62.08491511880143
West Bengal,Barddhaman,23.444453888888884,87.8150581111111,335,7717563,3966889,3750674,5247208,2911251,2293083,618168,973182,32323,1049943,1364868,862368,95.0,67.99047834141425
West Bengal,Birbhum,24.06389342723,87.65153089201888,334,3502404,1790920,1711484,2158447,1331603,1029770,301833,611510,5210,333752,831044,134565,96.0,61.62758493880204
West Bengal,Dakshin Dinajpur,25.342094363021435,88.69821679819614,331,1676276,857199,819077,1083685,702987,499560,203427,279932,2518,168069,390949,70077,96.0,64.64836339600399
West Bengal,Darjiling,26.839619571045585,88.33145067024122,327,1846823,937259,909564,1315585,683726,479586,204140,66041,10943,297176,303284,215675,97.0,71.23503443481049
West Bengal,Haora,22.401674174428507,87.99421176968654,341,4850029,2500819,2349210,3605206,1819845,1498170,321675,181662,30751,796953,483384,869313,94.0,74.33369986035136
West Bengal,Hugli,22.87929264705881,88.00010264705891,338,5519145,2814653,2704492,4078388,2152870,1713608,439262,583380,31725,965258,992085,647953,96.0,73.89528631699294
West Bengal,Jalpaiguri,26.62642031250004,89.04154375000003,328,3872846,1983064,1889782,2498780,1512910,1091361,421549,349672,9322,382500,798378,319426,95.0,64.5205102397565
West Bengal,Kolkata,22.550581481481483,88.3527648148148,342,4496694,2356766,2139928,3588137,1795740,1412466,383274,12388,136618,927602,0,1308106,91.0,79.79500050481532
West Bengal,Maldah,25.08026802575105,88.17191684549356,332,3988845,2051541,1937304,2086432,1537847,1086461,451386,545759,5357,297716,830318,128678,94.0,52.30667022659442
West Bengal,Murshidabad,24.25950655391121,88.16816860465121,333,7103807,3627564,3476243,4055834,2589907,1985667,604240,842294,7951,541169,1501066,350899,96.0,57.09380899565543
West Bengal,Nadia,23.56410971055088,88.58293034547152,336,5167600,2653768,2513832,3480555,1842607,1554090,288517,556134,12787,623729,1081381,468390,95.0,67.35341357690223
West Bengal,Puruliya,23.254192328767108,86.3968532876713,340,2930115,1496996,1433119,1624905,1249642,801254,448388,492205,3551,189889,653219,99433,96.0,55.455331957960695
West Bengal,Uttar Dinajpur,26.044619165196977,88.23595232216337,330,3007134,1551066,1456068,1489667,1075626,799627,275999,442328,2883,199307,683981,94269,94.0,49.53776585945289
